#GRAF1 InfiniBand
p	T(n,p)	C(n,p)	S(n,p)	E(n,p)
1	279,39	279,39	1	1
2	155,421301	310,842602	1,797630043	0,8988150215
3	117,346958	352,040874	2,3808883056	0,7936294352
4	108,202529	432,810116	2,5821023093	0,6455255773
5	86,215483	431,077415	3,240601227	0,6481202454
6	85,889474	515,336844	3,2529015139	0,5421502523
7	73,821096	516,747672	3,7846904901	0,54067007
8	58,89856	471,18848	4,7435794695	0,5929474337
9	86,972248	782,750232	3,2124040303	0,3569337811
10	52,379245	523,79245	5,3339829545	0,5333982955
11	92,883732	1021,721052	3,0079540732	0,2734503703
12	44,606054	535,272648	6,2634995689	0,5219582974
13	84,367351	1096,775563	3,3115891004	0,2547376231
14	92,21992	1291,07888	3,0296057511	0,2164004108
15	60,293119	904,396785	4,6338621162	0,3089241411
16	60,907	974,512	4,5871574696	0,2866973418
17	72,920345	1239,645865	3,8314410059	0,2253788827
18	42,917609	772,516962	6,5099153124	0,3616619618
19	59,659333	1133,527327	4,6830895679	0,2464783983
20	56,780228	1135,60456	4,920550865	0,2460275432
21	83,377608	1750,929768	3,3508996804	0,1595666514
22	52,342195	1151,52829	5,3377585713	0,2426253896
23	53,016497	1219,379431	5,2698691126	0,229124744
24	52,551655	1261,23972	5,3164833724	0,2215201405
25	53,187714	1329,69285	5,2529048344	0,2101161934
26	264,055809	6865,451034	1,0580717806	0,0406950685
27	82,18144	2218,89888	3,3996727242	0,1259138046
28	255,988615	7167,68122	1,0914157257	0,0389791331
29	260,282277	7548,186033	1,0734115408	0,0370141911
30	274,214913	8226,44739	1,0188723762	0,0339624125
31	269,252505	8346,827655	1,0376505132	0,0334725972
32	265,016574	8480,530368	1,0542359513	0,0329448735

GRAPH2 InfiniBand			
p	T(n,p)	C(n,p)	S(n,p)	E(n,p)
1	274,09	274,09	1	1
2	296,867165	593,73433	0,923274893	0,4616374465
3	212,404202	637,212606	1,2904170323	0,4301390108
4	144,367063	577,468252	1,8985632478	0,4746408119
5	116,098775	580,493875	2,3608345566	0,4721669113
6	95,852998	575,117988	2,8594828093	0,4765804682
7	82,986407	580,904849	3,3028300647	0,4718328664
8	74,30728	594,45824	3,6886022473	0,4610752809
9	65,527329	589,745961	4,1828349207	0,4647594356
10	59,549552	595,49552	4,6027214445	0,4602721444
11	54,014339	594,157729	5,0743933014	0,4613084819
12	50,357324	604,287888	5,4429024068	0,4535752006
13	57,887441	752,536733	4,7348785033	0,3642214233
14	54,255141	759,571974	5,0518714899	0,3608479636
15	52,557417	788,361255	5,2150584189	0,3476705613
16	39,301103	628,817648	6,9741045181	0,4358815324
17	36,116699	613,983883	7,5890102803	0,4464123694
18	35,266005	634,78809	7,7720739846	0,431781888
19	33,770073	641,631387	8,1163579362	0,4271767335
20	32,604515	652,0903	8,4065044366	0,4203252218
21	28,670871	602,088291	9,5598769915	0,4552322377
22	30,138602	663,049244	9,0943169826	0,4133780447
23	38,030973	874,712379	7,2070204462	0,3133487151
24	28,348218	680,357232	9,6686853473	0,4028618895
25	36,005084	900,1271	7,6125360519	0,3045014421
26	26,029739	676,773214	10,5298789204	0,4049953431
27	24,389587	658,518849	11,2379926729	0,4162219508
28	24,053534	673,498952	11,3949991714	0,4069642561
29	22,433426	650,569354	12,2179287283	0,4213078872
30	21,128962	633,86886	12,9722416085	0,4324080536
31	19,876026	616,156806	13,7899799487	0,4448380629
32	18,990852	607,707264	14,4327384574	0,4510230768

GRAPH3 InfiniBand			
p	T(n,p)	C(n,p)	S(n,p)	E(n,p)
1	253,28	253,28	1	1
2	178,782253	357,564506	1,4166954256	0,7083477128
3	119,625642	358,876926	2,1172718137	0,7057572712
4	90,395223	361,580892	2,801917973	0,7004794933
5	73,01839	365,09195	3,46871521	0,693743042
6	60,669105	364,01463	4,174777261	0,6957962102
7	52,099793	364,698551	4,8614396606	0,6944913801
8	45,615799	364,926392	5,5524622072	0,6940577759
9	40,526564	364,739076	6,2497279562	0,6944142174
10	36,656964	366,56964	6,9094647336	0,6909464734
11	33,482402	368,306422	7,5645707856	0,6876882532
12	30,485245	365,82294	8,3082815966	0,6923567997
13	28,680786	372,850218	8,830999262	0,6793076355
14	26,179765	366,51671	9,6746475761	0,6910462554
15	25,129226	376,93839	10,0791007252	0,6719400483
16	29,199278	467,188448	8,6741870809	0,5421366926
17	27,640008	469,880136	9,1635284621	0,539031086
18	73,487023	1322,766414	3,4465949179	0,1914774954
19	66,121065	1256,300235	3,8305493113	0,2016078585
20	66,480523	1329,61046	3,8098376573	0,1904918829
21	23,45805	492,61905	10,7971463954	0,5141498284
22	22,864126	503,010772	11,0776156499	0,5035279841
23	70,130263	1612,996049	3,6115649531	0,1570245632
24	42,199486	1012,787664	6,0019688391	0,250082035
25	21,324937	533,123425	11,8771745961	0,4750869838
26	38,351247	997,132422	6,6042181106	0,2540083889
27	20,703959	559,006893	12,2334090789	0,4530892251
28	19,693065	551,40582	12,8613803895	0,4593350139
29	19,65129	569,88741	12,8887213002	0,4444386655
30	19,499151	584,97453	12,9892834821	0,4329761161
31	19,217892	595,754652	13,1793851272	0,4251414557
32	18,401587	588,850784	13,7640302437	0,4301259451



